,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space"
09/30/2024 15:35:02,0.78125,0,0,0.78125,0,0,17.4603157,42.1875,15.625,18.75,6.07174,63.7026329,15.0924873,8.599606,59,232.000015,405.000031,0,0,35,0,0,6144,298.035156,5845.965,4.85083246,4.361,0,0,89.48665,86.55914
09/30/2024 15:35:03,0,0,0,0,0,0,6.153846,18.75,23.8095226,28.125,4.80239964,63.69431,15.0905151,8.601578,59,210.000015,405.000031,0,0,7,0,0,6144,298.035156,5845.965,4.85083246,3.91100025,0,0,89.48665,86.55914
09/30/2024 15:35:04,0,0,0,0,0,0,58.73016,71.42857,93.75,96.875,20.0489826,63.6961,15.0909386,8.601154,59,210.000015,405.000031,0,0,7,0,0,6144,298.035156,5845.965,4.85083246,3.821,0,0,89.48665,86.55914
09/30/2024 15:35:05,0,0,0,0,0.78125,0,55.5555573,82.8125,96.875,90.625,20.4644089,63.69589,15.090889,8.601204,59,210.000015,405.000031,0,0,28,0,0,6144,298.035156,5845.965,4.85083246,3.86600018,0,0,89.48665,86.55914
09/30/2024 15:35:06,1.5625,0,0,0,0,0.78125,13.6363621,41.53846,56.92308,53.125,10.6194019,63.6898155,15.0894508,8.602642,59,210.000015,405.000031,0,0,16,0,0,6144,297.972656,5846.02734,4.84981537,3.79300022,0,0,89.48665,86.55914
09/30/2024 15:35:07,0,0,0,0,0,0,7.8125,6.25,1.5625,1.5625,1.07421875,63.675972,15.08617,8.605923,58,210.000015,405.000031,0,0,21,0,0,6144,297.972656,5846.02734,4.84981537,3.88100028,0,0,89.48665,86.55914
09/30/2024 15:35:08,0,0.78125,0.78125,0,0,0,6.349206,12.5,7.8125,6.25,2.25229263,63.68233,15.087677,8.604416,58,225.000015,405.000031,0,43,37,0,1,6144,296.097656,5847.90234,4.819298,4.18700027,0.001953125,0,89.48665,86.55914
09/30/2024 15:35:09,0,0,0,0,0,0,51.5625,87.5,71.42857,85.71429,18.5128326,63.68257,15.0877342,8.604359,58,225.000015,405.000031,0,0,14,0,0,6144,296.097656,5847.90234,4.819298,4.046,0,0,89.48665,86.55914
09/30/2024 15:35:10,0.78125,0,0,0,0,0,80,90.625,98.4375,96.92308,22.971756,63.6861954,15.0885925,8.6035,58,210.000015,405.000031,0,0,11,0,0,6144,296.097656,5847.90234,4.819298,3.8360002,0,0,89.48665,86.55914
09/30/2024 15:35:11,1.5625,0,2.34375,0,0,0,23.4375,79.6875,83.87097,76.1904755,16.9374352,63.6804161,15.0872231,8.60487,58,240.000015,405.000031,0,17,22,0,0,6144,293.597656,5850.40234,4.778608,4.59400034,0.0029296875,0,89.48665,86.55914
09/30/2024 15:35:12,4.6875,3.8461566,0.78125,0,1.5625,1.5625,15.625,42.1875,22.38806,24.6153831,8.105988,64.22296,15.2157631,8.47633,59,240.000015,405.000031,0,19,32,0,0,6144,309.535156,5834.465,5.03800726,4.663,0.0009765625,0,89.48665,86.55914
09/30/2024 15:35:13,2.34375,1.5625,2.34375,1.5625,0.78125,1.5625,44.4444427,46.0317421,71.875,60.9375,15.2250767,65.42615,15.500824,8.191269,59,262,405.000031,0,9,16,0,0,6144,321.4414,5822.55859,5.231794,4.802,0,0,89.48665,86.55914
09/30/2024 15:35:14,5.555558,8.730162,3.96825075,5.555558,3.174603,2.38095522,100,100,98.4375,100,28.5729771,67.2868,15.94165,7.7504425,59,262,405.000031,0,0,25,0,0,6144,310.1914,5833.80859,5.04868841,3.91900015,0,0,89.48665,86.55914
09/30/2024 15:35:15,6.1899066,5.46875,5.384612,5.384612,0.7692337,0.7692337,100,100,100,100,27.9957943,68.22615,16.1642036,7.52788925,59,210.000015,405.000031,0,0,15,0,0,6144,310.1914,5833.80859,5.04868841,3.89,0,0,89.48665,86.55914
09/30/2024 15:35:16,4.6274066,0.78125,3.125,1.5625,0.78125,0.78125,100,100,100,100,26.4573326,69.10729,16.372963,7.31913,60,210.000015,405.000031,0,5,20,0,0,6144,301.3789,5842.621,4.905256,3.97100019,0.015625,0,89.48665,86.55914
09/30/2024 15:35:17,0,0,1.5625,0.78125,0.78125,0,100,100,100,100,25.390625,69.5663147,16.4817162,7.21037674,60,210.000015,405.000031,0,0,11,0,0,6144,301.3789,5842.621,4.905256,4.056,0,0,89.48665,86.55914
09/30/2024 15:35:18,0.7692337,0,0,0.78125,0,0,100,100,100,100,25.19381,69.9793243,16.579567,7.112526,60,210.000015,405.000031,0,0,14,0,0,6144,301.3789,5842.621,4.905256,4.013,0,0.0009765625,89.48665,86.55914
09/30/2024 15:35:19,6.25,1.5625,1.5625,0,0,0,100,100,100,100,26.171875,70.21418,16.6352081,7.056885,60,210.000015,405.000031,0,0,11,0,0,6144,301.3789,5842.621,4.905256,4.04,0.015625,0,89.48665,86.55914
09/30/2024 15:35:20,0,0.7692337,0,0,0,0,100,100,100,100,25.0961533,71.027916,16.828,6.864094,60,210.000015,405.000031,0,0,7,0,0,6144,301.3789,5842.621,4.905256,4.07300043,0.015625,0,89.48665,86.55914
